Date,Time,Code,Title,Faculty
27/11/2013(Wed),5:00 PM,CS1010,PROGRAMMING METHODOLOGY,SOC
25/11/2013(Mon),1:00 PM,CS1010E,PROGRAMMING METHODOLOGY,SOC
27/11/2013(Wed),5:00 PM,CS1010S,PROGRAMMING METHODOLOGY,SOC
29/11/2013(Fri),2:30 PM,CS1020,DATA STRUCTURES AND ALGORITHMS I,SOC
29/11/2013(Fri),2:30 PM,CS1020E,DATA STRUCTURES AND ALGORITHMS I,SOC
27/11/2013(Wed),5:00 PM,CS1101S,PROGRAMMING METHODOLOGY,SOC
26/11/2013(Tue),5:00 PM,CS1231,DISCRETE STRUCTURES,SOC
25/11/2013(Mon),5:00 PM,CS2010,DATA STRUCTURES AND ALGORITHMS II,SOC
23/11/2013(Sat),9:00 AM,CS2100,COMPUTER ORGANISATION,SOC
30/11/2013(Sat),1:00 PM,CS2102,DATABASE SYSTEMS,SOC
27/11/2013(Wed),1:00 PM,CS2103,SOFTWARE ENGINEERING,SOC
27/11/2013(Wed),1:00 PM,CS2103T,SOFTWARE ENGINEERING,SOC
26/11/2013(Tue),1:00 PM,CS2104,PROGRAMMING LANGUAGE CONCEPTS,SOC
28/11/2013(Thu),1:00 PM,CS2105,INTRODUCTION TO COMPUTER NETWORKS,SOC
29/11/2013(Fri),2:30 PM,CS2106,INTRODUCTION TO OPERATING SYSTEMS,SOC
02/12/2013(Mon),1:00 PM,CS3103,COMPUTER NETWORKS AND PROTOCOLS,SOC
28/11/2013(Thu),9:00 AM,CS3210,PARALLEL COMPUTING,SOC
25/11/2013(Mon),1:00 PM,CS3213,SOFTWARE SYSTEMS DESIGN,SOC
26/11/2013(Tue),9:00 AM,CS3230,DESIGN AND ANALYSIS OF ALGORITHMS,SOC
27/11/2013(Wed),1:00 PM,CS3235,COMPUTER SECURITY,SOC
29/11/2013(Fri),9:00 AM,CS3236,INTRODUCTION TO INFORMATION THEORY,SOC
02/12/2013(Mon),1:00 PM,CS3240,INTERACTION DESIGN,SOC
27/11/2013(Wed),5:00 PM,CS3241,COMPUTER GRAPHICS,SOC
03/12/2013(Tue),9:00 AM,CS3244,MACHINE LEARNING,SOC
27/11/2013(Wed),9:00 AM,CS3246,MULTIMEDIA CONTENT ANALYSIS AND SEARCH,SOC
23/11/2013(Sat),1:00 PM,CS4211,FORMAL METHODS FOR SOFTWARE ENGINEERING,SOC
25/11/2013(Mon),1:00 PM,CS4212,COMPILER DESIGN,SOC
25/11/2013(Mon),1:00 PM,CS4221,DATABASE DESIGN,SOC
02/12/2013(Mon),9:00 AM,CS4223,MULTI-CORE ARCHITECTURES,SOC
23/11/2013(Sat),1:00 PM,CS4224,DISTRIBUTED DATABASES,SOC
28/11/2013(Thu),5:00 PM,CS4243,COMPUTER VISION AND PATTERN RECOGNITION,SOC
27/11/2013(Wed),5:00 PM,CS4248,NATURAL LANGUAGE PROCESSING,SOC
03/12/2013(Tue),5:00 PM,CS4249,PHENOMENA AND THEORIES OF HUMAN-COMPUTER INTERACTION,SOC
28/11/2013(Thu),1:00 PM,CS4274,MOBILE AND MULTIMEDIA NETWORKING,SOC
30/11/2013(Sat),1:00 PM,CS4344,NETWORKED AND MOBILE GAMING,SOC
25/11/2013(Mon),1:00 PM,CS4345,GENERAL-PURPOSE COMPUTATION ON GPU,SOC
26/11/2013(Tue),9:00 AM,CS5201,FOUNDATION IN THEORETICAL CS,SOC
27/11/2013(Wed),1:00 PM,CS5202,FOUNDATION IN COMPUTER SYSTEMS,SOC
02/12/2013(Mon),9:00 AM,CS5215,CONSTRAINT PROGRAMMING,SOC
30/11/2013(Sat),9:00 AM,CS5223,DISTRIBUTED SYSTEMS,SOC
02/12/2013(Mon),5:00 PM,CS5229,ADVANCED COMPUTER NETWORKS,SOC
04/12/2013(Wed),1:00 PM,CS5321,NETWORK SECURITY AND MANAGEMENT,SOC
